start_date,end_date,mm_yyyy,number_requests,number_pdfs,time,execution_date
01-01-2016,31-01-2016,01-2016,3795,3785,4886.131931304932,12-06-2024 09:04:41
01-02-2016,29-02-2016,02-2016,5451,5437,6968.896127939224,12-06-2024 10:31:24
01-03-2016,31-03-2016,03-2016,5826,5804,8342.469424009323,12-06-2024 12:48:58
01-04-2016,30-04-2016,04-2016,6932,6908,9611.083174467087,12-06-2024 15:12:19
01-05-2016,31-05-2016,05-2016,7293,7266,10330.076337099075,12-06-2024 17:57:28
01-06-2016,30-06-2016,06-2016,8111,8093,9878.025088310242,12-06-2024 20:55:41
01-07-2016,31-07-2016,07-2016,6546,6533,7703.687135696411,12-06-2024 23:46:21
01-08-2016,31-08-2016,08-2016,3839,3825,5365.078639984131,13-06-2024 02:00:21
01-09-2016,30-09-2016,09-2016,7070,7051,8976.209915161133,13-06-2024 03:41:20
01-10-2016,31-10-2016,10-2016,8676,8653,11086.116251707077,13-06-2024 06:17:58
01-11-2016,30-11-2016,11-2016,9620,9596,12006.870752096176,13-06-2024 09:28:42
01-12-2016,31-12-2016,12-2016,7717,7696,9985.772451639175,13-06-2024 12:56:36
01-01-2017,31-01-2017,01-2017,6825,6798,9936.859006404877,13-06-2024 15:51:39
01-02-2017,28-02-2017,02-2017,8293,8261,11880.224948644638,13-06-2024 19:03:38
01-03-2017,31-03-2017,03-2017,8488,8457,11836.69011926651,13-06-2024 22:30:42
01-04-2017,30-04-2017,04-2017,7798,7775,10158.37794995308,14-06-2024 01:57:43
01-05-2017,31-05-2017,05-2017,8173,8145,11177.307436704636,14-06-2024 05:01:59
01-06-2017,30-06-2017,06-2017,8687,8654,12505.516644477844,14-06-2024 08:23:30
01-07-2017,31-07-2017,07-2017,7571,7545,10531.795854568481,14-06-2024 12:07:34
01-08-2017,31-08-2017,08-2017,4013,3997,5833.518443107605,14-06-2024 15:29:48
01-09-2017,30-09-2017,09-2017,7796,7776,9894.066844940186,14-06-2024 17:22:33
01-10-2017,31-10-2017,10-2017,8740,8720,10751.232055902481,14-06-2024 20:17:15
01-11-2017,30-11-2017,11-2017,8219,8199,10194.052999258041,14-06-2024 23:27:12
01-12-2017,31-12-2017,12-2017,7940,7920,9907.635682821274,15-06-2024 02:28:24
01-01-2018,31-01-2018,01-2018,7092,7070,9313.635479450226,15-06-2024 05:27:39
01-02-2018,28-02-2018,02-2018,7977,7951,10691.563683509827,15-06-2024 08:15:13
01-03-2018,31-03-2018,03-2018,9188,9162,11874.731620311737,15-06-2024 11:22:55
01-04-2018,30-04-2018,04-2018,6601,6581,8715.608494520187,15-06-2024 14:48:58
01-05-2018,31-05-2018,05-2018,6377,6356,8645.856215000153,15-06-2024 17:22:22
01-06-2018,30-06-2018,06-2018,7553,7529,10069.316276311874,15-06-2024 19:51:28
01-07-2018,31-07-2018,07-2018,5848,5832,7463.422386169434,15-06-2024 22:47:28
01-08-2018,31-08-2018,08-2018,2934,2922,4114.125372409821,16-06-2024 00:58:29
01-09-2018,30-09-2018,09-2018,6199,6179,8281.389038801193,16-06-2024 02:41:00
01-10-2018,31-10-2018,10-2018,7046,7030,8543.564798593521,16-06-2024 05:38:34
01-11-2018,30-11-2018,11-2018,6349,6327,8714.350752592087,16-06-2024 08:50:02
01-12-2018,31-12-2018,12-2018,6549,6525,9158.651231765747,16-06-2024 11:52:37
01-01-2019,31-01-2019,01-2019,5147,5124,7751.883550643921,16-06-2024 15:04:19
01-02-2019,28-02-2019,02-2019,6253,6232,8518.495460987091,16-06-2024 17:41:37
01-03-2019,31-03-2019,03-2019,7239,7210,10449.538522720337,16-06-2024 20:31:32
01-04-2019,30-04-2019,04-2019,6735,6720,8062.318434476852,16-06-2024 23:57:05
01-05-2019,31-05-2019,05-2019,6808,6784,9363.060609340668,17-06-2024 02:44:39
01-06-2019,30-06-2019,06-2019,6969,6948,9204.582622289658,17-06-2024 05:44:46
01-07-2019,31-07-2019,07-2019,6010,5987,8602.708367109299,17-06-2024 09:09:39
01-08-2019,31-08-2019,08-2019,3601,3585,5469.422695398331,17-06-2024 12:07:46
01-09-2019,30-09-2019,09-2019,6097,6077,6506.704438924789,19-06-2024 10:27:10
01-10-2019,31-10-2019,10-2019,7104,7082,7398.964949846268,19-06-2024 13:00:09
01-11-2019,30-11-2019,11-2019,7247,7225,7461.7738428115845,19-06-2024 15:49:01
01-12-2019,31-12-2019,12-2019,6142,6123,6369.513765573502,19-06-2024 18:35:47